LB-9055 : MODBUS server (COM 1) receives a request (when ON),Local HMI,LB,9055,,16-bit Unsigned,Supported
LB-9056 : MODBUS server (COM 2) receives a request (when ON),Local HMI,LB,9056,,16-bit Unsigned,Supported
LB-9057 : MODBUS server (COM 3) receives a request (when ON),Local HMI,LB,9057,,16-bit Unsigned,Supported
LB-9058 : MODBUS server (ethernet) receives a request (when ON),Local HMI,LB,9058,,16-bit Unsigned,Supported
LB-9059 : disable macro TRACE function (when ON),Local HMI,LB,9059,,16-bit Unsigned,Supported
LB-9060 : password error,Local HMI,LB,9060,,16-bit Unsigned,Unsupported
LB-9061 : update password (set ON),Local HMI,LB,9061,,16-bit Unsigned,Unsupported
LB-9062 : open hardware setting dialog (set ON),Local HMI,LB,9062,,16-bit Unsigned,Supported
LB-9063 : disable(set ON)/enable(set OFF) information popup dialog when USB disk is detected,Local HMI,LB,9063,,16-bit Unsigned,Supported
LB-9064 : enable USB barcode scanner (disable keyboard) (when ON),Local HMI,LB,9064,,16-bit Unsigned,Supported
LB-9065 : disable/enable COM 1 broadcast station no.,Local HMI,LB,9065,,16-bit Unsigned,Supported
LB-9066 : disable/enable COM 2 broadcast station no.,Local HMI,LB,9066,,16-bit Unsigned,Supported
LB-9067 : disable/enable COM 3 broadcast station no.,Local HMI,LB,9067,,16-bit Unsigned,Supported
LB-9068 : auto. connection for remote HMI 1 (when ON),Local HMI,LB,9068,,16-bit Unsigned,Supported
LB-9069 : auto. connection for remote HMI 2 (when ON),Local HMI,LB,9069,,16-bit Unsigned,Supported
LB-9070 : auto. connection for remote HMI 3 (when ON),Local HMI,LB,9070,,16-bit Unsigned,Supported
LB-9071 : auto. connection for remote HMI 4 (when ON),Local HMI,LB,9071,,16-bit Unsigned,Supported
LB-9072 : auto. connection for remote HMI 5 (when ON),Local HMI,LB,9072,,16-bit Unsigned,Supported
LB-9073 : auto. connection for remote HMI 6 (when ON),Local HMI,LB,9073,,16-bit Unsigned,Supported
LB-9074 : auto. connection for remote HMI 7 (when ON),Local HMI,LB,9074,,16-bit Unsigned,Supported
LB-9075 : auto. connection for remote HMI 8 (when ON),Local HMI,LB,9075,,16-bit Unsigned,Supported
LB-9099 : auto. connection for remote HMI 32 (when ON),Local HMI,LB,9099,,16-bit Unsigned,Supported
LB-9100 : remote HMI 1 status,Local HMI,LB,9100,,16-bit Unsigned,Supported
LB-9101 : remote HMI 2 status,Local HMI,LB,9101,,16-bit Unsigned,Supported
LB-9102 : remote HMI 3 status,Local HMI,LB,9102,,16-bit Unsigned,Supported
LB-9103 : remote HMI 4 status,Local HMI,LB,9103,,16-bit Unsigned,Supported
LB-9104 : remote HMI 5 status,Local HMI,LB,9104,,16-bit Unsigned,Supported
LB-9105 : remote HMI 6 status,Local HMI,LB,9105,,16-bit Unsigned,Supported
