UI Desired Amount,Local HMI,LW,1406,Operator desired amount. Entered in By Amount mode; calculated in By KG mode.,32-bit Float
UI Progress Percent,Local HMI,LW,1420,"Calculated progress percentage for progress bar, 0 to 100.",32-bit Float
UI Command Seq Counter,Local HMI,LW,1422,Local incrementing command sequence counter for command macros.,16-bit Unsigned
UI Last Command Code,Local HMI,LW,1423,Last command code sent by the HMI. Diagnostic only.,16-bit Unsigned
UI Last Error,Local HMI,LW,1424,Last macro/write error for operator/debug display.,16-bit Signed
UI Macro Error,Local HMI,LW,899,General macro error shown on footer. 0 means OK.,16-bit Signed
Prepare Cylinder Enable,Local HMI,LB,1500,,Undesignated
Start Filling Enable,Local HMI,LB,1501,,Undesignated
Stop Filling Enable,Local HMI,LB,1502,,Undesignated
Next Cylinder Enable,Local HMI,LB,1503,,Undesignated
Alarm Active,Local HMI,LB,1504,,Undesignated
Communication Fault,Local HMI,LB,1505,,Undesignated
Last Accepted Seq,Local HMI,LW,1425,,Undesignated
Step Code,Local HMI,LW,1450,Operator step indicator set by macros: 1=Enter KG 2=Enter Amount 3=Prepare 4=Start 5=Filling 6=Complete 7=Fault.,16-bit Unsigned
Fill Record Pending,Local HMI,LB,1506,Local mirror of 4x-175 PendingAck. Cleared by Acknowledge macro.,Undesignated
Fill Rec ID Hi,LPG-Controller,4x,156,Fill record monotonic counter high word (uint32 hi).,16-bit Unsigned
Fill Rec ID Lo,LPG-Controller,4x,157,Fill record monotonic counter low word (uint32 lo).,16-bit Unsigned
Fill Rec Result,LPG-Controller,4x,158,"Fill record result: 0=Idle 4=Done 5=Failed.",16-bit Unsigned
Fill Rec Err Code,LPG-Controller,4x,159,"Fill record error code: 0=None 12=FaultActive.",16-bit Unsigned
Fill Rec Mode,LPG-Controller,4x,160,"Fill record mode: 0=By KG 1=By Amount.",16-bit Unsigned
Fill Rec Target KG,LPG-Controller,4x_Double,161,Fill record target fill weight kg (float32).,32-bit Float
Fill Rec Actual KG,LPG-Controller,4x_Double,163,Fill record actual net kg delivered (float32).,32-bit Float
Fill Rec Rate Per KG,LPG-Controller,4x_Double,165,Fill record rate PKR per kg (float32).,32-bit Float
Fill Rec Target Amount,LPG-Controller,4x_Double,167,Fill record target amount PKR (float32).,32-bit Float
Fill Rec Final Amount,LPG-Controller,4x_Double,169,Fill record final amount PKR = actual x rate (float32).,32-bit Float
Fill Rec Tare KG,LPG-Controller,4x_Double,171,Fill record tare kg captured at fill start (float32).,32-bit Float
Fill Rec Dur Hi,LPG-Controller,4x,173,Fill record duration seconds high word (uint32 hi).,16-bit Unsigned
Fill Rec Dur Lo,LPG-Controller,4x,174,Fill record duration seconds low word (uint32 lo).,16-bit Unsigned
Fill Rec Pending Ack,LPG-Controller,4x,175,"1=new fill record awaiting HMI acknowledge; 0=acknowledged.",16-bit Unsigned
Fill Rec Ack Write,LPG-Controller,4x,176,Write any non-zero value to acknowledge and clear the pending fill record.,16-bit Unsigned
